run_id,map_name,scenario_name,player_count,enemy_count,time_to_first_contact,player_survival_time,route_completed,shots_fired,shots_hit,shots_blocked,player_deaths,enemy_deaths,player_stuck_events,enemy_stuck_events,end_reason,duration_seconds,score,grade
1,level.tscn,default_laser_tag_scenario.tres,1,6,5.27,180.07,false,6,6,0,0,2,43,4,TIMEOUT,180.07,47,FAIL
2,level.tscn,default_laser_tag_scenario.tres,1,6,5.27,180.07,false,7,6,1,0,2,43,4,TIMEOUT,180.07,47,FAIL
3,level.tscn,default_laser_tag_scenario.tres,1,6,5.27,180.07,false,12,11,1,0,2,43,4,TIMEOUT,180.07,47,FAIL
